"Commodity","DATE","Price"
"Copper",2012-01-01,8061.91666666667
"Copper",2012-02-01,8441.4880952381
"Copper",2012-03-01,8470.78409090909
"Copper",2012-04-01,8285.52631578947
"Copper",2012-05-01,7896.90909090909
"Copper",2012-06-01,7428.28947368421
"Copper",2012-07-01,7584.26136363636
"Copper",2012-08-01,7510.43181818182
"Copper",2012-09-01,8087.7425
"Copper",2012-10-01,8062.03260869565
"Copper",2012-11-01,7711.22727272727
"Copper",2012-12-01,7966.48684210526
"Copper",2013-01-01,8053.73863636364
"Copper",2013-02-01,8060.925
"Copper",2013-03-01,7652.375
"Copper",2013-04-01,7221.1619047619
"Copper",2013-05-01,7248.71428571429
"Copper",2013-06-01,7000.2375
"Copper",2013-07-01,6906.64130434783
"Copper",2013-08-01,7186.25
"Copper",2013-09-01,7159.26904761905
"Copper",2013-10-01,7203.02173913044
"Copper",2013-11-01,7070.65476190476
"Copper",2013-12-01,7214.9
"Copper",2014-01-01,7291.46590909091
"Copper",2014-02-01,7149.2125
"Copper",2014-03-01,6650.03571428571
"Copper",2014-04-01,6673.5625
"Copper",2014-05-01,6891.125
"Copper",2014-06-01,6821.14285714286
"Copper",2014-07-01,7113.38043478261
"Copper",2014-08-01,7001.8375
"Copper",2014-09-01,6872.21590909091
"Copper",2014-10-01,6737.47826086957
"Copper",2014-11-01,6712.85
"Copper",2014-12-01,6446.45238095238
"Copper",2015-01-01,5830.53571428571
"Copper",2015-02-01,5729.275
"Copper",2015-03-01,5939.67045454546
"Copper",2015-04-01,6042.0875
"Copper",2015-05-01,6294.77631578947
"Copper",2015-06-01,5833.01136363636
"Copper",2015-07-01,5456.75
"Copper",2015-08-01,5127.3
"Copper",2015-09-01,5217.25
"Copper",2015-10-01,5216.09090909091
"Copper",2015-11-01,4799.90476190476
"Copper",2015-12-01,4638.83333333333
"Copper",2016-01-01,4471.7875
"Copper",2016-02-01,4598.61904761905
"Copper",2016-03-01,4953.79761904762
"Copper",2016-04-01,4872.7380952381
"Copper",2016-05-01,4694.5375
"Copper",2016-06-01,4641.96590909091
"Copper",2016-07-01,4864.90476190476
"Copper",2016-08-01,4751.67045454546
"Copper",2016-09-01,4722.20454545455
"Copper",2016-10-01,4731.2619047619
"Copper",2016-11-01,5450.93181818182
"Copper",2016-12-01,5660.35
"Copper",2017-01-01,5754.55952380952
"Copper",2017-02-01,5940.9125
"Copper",2017-03-01,5824.63043478261
"Copper",2017-04-01,5683.90277777778
"Copper",2017-05-01,5599.55952380952
"Copper",2017-06-01,5719.76136363636
"Copper",2017-07-01,5985.11904761905
"Copper",2017-08-01,6485.625
"Copper",2017-09-01,6577.16666666667
"Copper",2017-10-01,6807.60227272727
"Copper",2017-11-01,6826.54545454546
"Copper",2017-12-01,6833.89473684211
"Copper",2018-01-01,7065.85227272727
"Copper",2018-02-01,7006.525
"Copper",2018-03-01,6799.17857142857
"Copper",2018-04-01,6851.5125
"Copper",2018-05-01,6825.27380952381
"Copper",2018-06-01,6965.85714285714
"Copper",2018-07-01,6250.75
"Copper",2018-08-01,6051.04545454546
"Copper",2018-09-01,6050.7625
"Copper",2018-10-01,6219.58695652174
"Copper",2018-11-01,6195.92045454546
"Copper",2018-12-01,6075.31578947368
"Copper",2019-01-01,5939.10227272727
"Copper",2019-02-01,6300.4875
"Copper",2019-03-01,6439.46428571429
"Copper",2019-04-01,6438.3625
"Copper",2019-05-01,6017.90476190476
"Copper",2019-06-01,5882.225
"Copper",2019-07-01,5941.19565217391
"Copper",2019-08-01,5709.44047619048
"Copper",2019-09-01,5759.25
"Copper",2019-10-01,5757.29782608696
"Copper",2019-11-01,5859.95238095238
"Copper",2019-12-01,6077.0625
"Copper",2020-01-01,6031.20909090909
"Copper",2020-02-01,5687.75
"Copper",2020-03-01,5182.63181818182
"Copper",2020-04-01,5057.972
"Copper",2020-05-01,5239.82631578947
"Copper",2020-06-01,5754.59545454546
"Copper",2020-07-01,6372.46086956522
"Copper",2020-08-01,6508.39285714286
"Copper",2020-09-01,6704.9
"Copper",2020-10-01,6713.81136363636
"Copper",2020-11-01,7068.90714285714
"Copper",2020-12-01,7772.2380952381
"Copper",2021-01-01,7972.1475
"Copper",2021-02-01,8470.94
"Copper",2021-03-01,8988.24782608696
"Copper",2021-04-01,9324.8175
"Copper",2021-05-01,10166.285
"Copper",2021-06-01,9631.5
"Copper",2021-07-01,9450.82045454546
"Copper",2021-08-01,9370.13857142857
"Copper",2021-09-01,9324.70954545455
"Copper",2021-10-01,9829.21904761905
"Copper",2021-11-01,9728.90454545454
"Copper",2021-12-01,9551.18
"Copper",2022-01-01,9782.3375
"Copper",2022-02-01,9943.175
"Copper",2022-03-01,10230.8939130435
"Copper",2022-04-01,10174.3476190476
"Copper",2022-05-01,9395.02727272727
"Copper",2022-06-01,9067.55181818182
"Copper",2022-07-01,7544.80952380952
"Copper",2022-08-01,7990.81217391304
"Copper",2022-09-01,7746.01136363636
"Copper",2022-10-01,7651.08285714286
"Copper",2022-11-01,8049.86136363636
"Copper",2022-12-01,8371.09136363636
